monitorID,longitude,latitude,elevation,timezone,countryCode,stateCode,siteName,agencyName,countyName,msaName,monitorType,siteID,instrumentID,aqsID,pwfslID,pwfslDataIngestSource,telemetryAggregator,telemetryUnitID
484800150584_01,-99.086,19.4525,NA,America/Mexico_City,MX,DF,FES Aragon,Red de Monitoreo de la Calidad del Aire de la Ciudad de Mexico,Mexico State,NA,NA,484800150584,01,484800150584,NA,AIRNOW,NA,NA
040128000_01,-113.558611,34.243889,403,America/Phoenix,US,AZ,Alamo Lake,Arizona Department of Environmental Quality,La Paz,NA,NA,040128000,01,040128000,NA,AIRNOW,NA,NA
131390003_01,-83.8139,34.3003,386,America/New_York,US,GA,Gainesville,Georgia Department of Natural Resources,Hall,"Gainesville, GA",NA,131390003,01,131390003,NA,AIRNOW,NA,NA
840060199999_01,-119.0189,36.6972,NA,America/Los_Angeles,US,CA,Pinehurst,Forest Service,Fresno,NA,NA,840060199999,01,840060199999,NA,AIRNOW,NA,NA
295100093_01,-90.18977,38.65643,129,America/Chicago,US,IL,Branch Street,Missouri Department of Natural Resources,St. Louis (City),NA,NA,295100093,01,295100093,NA,AIRNOW,NA,NA
295100085_01,-90.198548,38.656449,137,America/Chicago,US,MO,BLAIR STREET,Missouri Department of Natural Resources,St. Louis (City),"St. Louis, MO-IL",NA,295100085,01,295100085,NA,AIRNOW,NA,NA
420770004_01,-75.4325,40.6119,NA,America/New_York,US,PA,Allentown,Pennsylvania Dept. of Environmental Protection,Lehigh,"Allentown-Bethlehem-Easton, PA-NJ",NA,420770004,01,420770004,NA,AIRNOW,NA,NA
560130099_01,-108.7203,42.5275,2528,America/Denver,US,WY,South Pass,Wyoming Department of Environmental Quality,Fremont,"Riverton, WY",NA,560130099,01,560130099,NA,AIRNOW,NA,NA
160830007_01,-114.494717,42.565089,1131,America/Boise,US,ID,Twin Falls PM25,Idaho Department of Environmental Quality,Twin Falls,NA,NA,160830007,01,160830007,NA,AIRNOW,NA,NA
250112005_01,-72.596689,42.605816,NA,America/New_York,US,MA,Greenfield,Massachusetts Dept. of Environmental Protection,Franklin,NA,NA,250112005,01,250112005,NA,AIRNOW,NA,NA
800090072_01,-99.0738,19.3607,2222,America/Mexico_City,MX,DF,UAM Iztapalapa,Red de Monitoreo de la Calidad del Aire de la Ciudad de Mexico,Distrito Federal,NA,NA,800090072,01,800090072,NA,AIRNOW,NA,NA
840150012027_01,-155.055038,19.611915,NA,Pacific/Honolulu,US,HI,KS Hawaii,Hawaii State Dept. of Health,Hawaii,NA,NA,840150012027,01,840150012027,NA,AIRNOW,NA,NA
280350004_01,-89.287498,31.322779,NA,America/Chicago,US,MS,Hattiesburg,Mississippi DEQ,Forrest,"Hattiesburg, MS",NA,280350004,01,280350004,NA,AIRNOW,NA,NA
130950007_01,-84.1002,31.5767,67,America/New_York,US,GA,Albany,Georgia Department of Natural Resources,Dougherty,"Albany, GA",NA,130950007,01,130950007,NA,AIRNOW,NA,NA
481410057_01,-106.28774,31.66752,1117,America/Denver,US,TX,Socorro Hueco C49,Texas Commission on Environmental Quality,El Paso,"El Paso, TX",NA,481410057,01,481410057,NA,AIRNOW,NA,NA
061112002_01,-118.68369,34.27632,NA,America/Los_Angeles,US,CA,Simi Valley - Cochran Street,Ventura County  APCD,Ventura,"Oxnard-Thousand Oaks-Ventura, CA",NA,061112002,01,061112002,NA,AIRNOW,NA,NA
